location_id,ihme_loc_id,lambda,omega,zeta,scale,amp
7,PRK,0.2,1,0.95,5,regional
8,TWN,0.2,1,0.95,5,superregional
10,KHM,0.2,1,0.95,5,national
11,IDN,0.2,1,0.95,5,global
12,LAO,0.2,1,0.95,5,global
13,MYS,0.2,1,0.95,5,2
14,MDV,0.2,1,0.95,5,regional
15,MMR,0.2,1,0.95,5,regional
16,PHL,0.2,1,0.95,5,regional
17,LKA,0.2,1,0.95,5,regional
18,THA,0.2,1,0.95,5,regional
19,TLS,0.2,1,0.95,5,regional
20,VNM,0.2,1,0.95,5,regional
22,FJI,0.2,1,0.95,5,regional
23,KIR,0.2,1,0.95,5,regional
24,MHL,0.2,1,0.95,5,regional
25,FSM,0.2,1,0.95,5,regional
26,PNG,0.2,1,0.95,5,regional
27,WSM,0.2,1,0.95,5,regional
28,SLB,0.2,1,0.95,5,regional
29,TON,0.2,1,0.95,5,regional
30,VUT,0.2,1,0.95,5,regional
33,ARM,0.2,1,0.95,5,regional
34,AZE,0.2,1,0.95,5,regional
35,GEO,0.2,1,0.95,5,regional
36,KAZ,0.2,1,0.95,5,regional
37,KGZ,0.2,1,0.95,5,regional
38,MNG,0.2,1,0.95,5,regional
39,TJK,0.2,1,0.95,5,regional
40,TKM,0.2,1,0.95,5,regional
41,UZB,0.2,1,0.95,5,regional
43,ALB,0.2,1,0.95,5,regional
44,BIH,0.2,1,0.95,5,regional
45,BGR,0.2,1,0.95,5,regional
46,HRV,0.2,1,0.95,5,regional
47,CZE,0.2,1,0.95,5,regional
48,HUN,0.2,1,0.95,5,regional
49,MKD,0.2,1,0.95,5,regional
50,MNE,0.2,1,0.95,5,regional
51,POL,0.2,1,0.95,5,regional
52,ROU,0.2,1,0.95,5,regional
53,SRB,0.2,1,0.95,5,regional
54,SVK,0.2,1,0.95,5,regional
55,SVN,0.2,1,0.95,5,regional
57,BLR,0.2,1,0.95,5,regional
58,EST,0.2,1,0.95,5,regional
59,LVA,0.2,1,0.95,5,regional
60,LTU,0.2,1,0.95,5,regional
61,MDA,0.2,1,0.95,5,regional
62,RUS,0.2,1,0.95,5,regional
63,UKR,0.2,1,0.95,5,regional
66,BRN,0.2,1,0.95,5,regional
