"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
16604,711,250,"N1",-1,-1
16605,711,251,"N10",-10,-10
16606,711,252,"N11",-11,-11
16607,711,253,"N12",-12,-12
16608,711,254,"N13",-13,-13
16609,711,255,"N14",-14,-14
16610,711,256,"N15",-15,-15
16611,711,257,"N16",-16,-16
16612,711,258,"N17",-17,-17
16613,711,259,"N18",-18,-18
16614,711,260,"N19",-19,-19
16615,711,261,"N2",-2,-2
16616,711,262,"N20",-20,-20
16617,711,263,"N21",-21,-21
16618,711,264,"N22",-22,-22
16619,711,265,"N23",-23,-23
16620,711,266,"N24",-24,-24
16621,711,267,"N25",-25,-25
16622,711,268,"N26",-26,-26
16623,711,269,"N27",-27,-27
16624,711,270,"N28",-28,-28
16625,711,272,"N3",-3,-3
16626,711,273,"N30",-30,-30
16627,711,274,"N31",-31,-31
16628,711,275,"N32",-32,-32
16629,711,276,"N33",-55,-55
16634,711,277,"N34",-56,-56
16639,711,278,"N35",-41,-41
16640,711,279,"N36",-42,-42
16641,711,280,"N37",-43,-43
16642,711,281,"N38",-44,-44
16643,711,282,"N39",-45,-45
16644,711,283,"N4",-4,-4
16645,711,284,"N40",-46,-46
16646,711,285,"N41",-47,-47
16647,711,286,"N42",-48,-48
16648,711,287,"N43",-49,-49
16649,711,288,"N44",-50,-50
16650,711,289,"N45",-51,-51
16651,711,290,"N46",-52,-52
16652,711,291,"N47",-53,-53
16653,711,292,"N48",-54,-54
16654,711,293,"N5",-5,-5
16655,711,294,"N6",-6,-6
16656,711,295,"N7",-7,-7
16657,711,296,"N8",-8,-8
16658,711,297,"N9",-9,-9
16659,710,250,"N1",-1,-1
16660,710,251,"N10",-10,-10
16661,710,252,"N11",-11,-11
16662,710,253,"N12",-12,-12
16663,710,254,"N13",-13,-13
16664,710,255,"N14",-14,-14
16665,710,256,"N15",-15,-15
16666,710,257,"N16",-16,-16
16667,710,258,"N17",-17,-17
16668,710,259,"N18",-18,-18
16669,710,260,"N19",-19,-19
16670,710,261,"N2",-2,-2
16671,710,262,"N20",-20,-20
16672,710,263,"N21",-21,-21
16673,710,264,"N22",-22,-22
16674,710,265,"N23",-23,-23
16675,710,266,"N24",-24,-24
16676,710,267,"N25",-25,-25
16677,710,268,"N26",-26,-26
16678,710,269,"N27",-27,-27
16679,710,270,"N28",-28,-28
16680,710,272,"N3",-3,-3
16681,710,273,"N30",-30,-30
16682,710,274,"N31",-31,-31
16683,710,275,"N32",-32,-32
16684,710,276,"N33",-55,-55
16689,710,277,"N34",-56,-56
16694,710,278,"N35",-41,-41
16695,710,279,"N36",-42,-42
16696,710,280,"N37",-43,-43
16697,710,281,"N38",-44,-44
16698,710,282,"N39",-45,-45
16699,710,283,"N4",-4,-4
16700,710,284,"N40",-46,-46
16701,710,285,"N41",-47,-47
16702,710,286,"N42",-48,-48
16703,710,287,"N43",-49,-49
16704,710,288,"N44",-50,-50
16705,710,289,"N45",-51,-51
16706,710,290,"N46",-52,-52
16707,710,291,"N47",-53,-53
16708,710,292,"N48",-54,-54
16709,710,293,"N5",-5,-5
16710,710,294,"N6",-6,-6
16711,710,295,"N7",-7,-7
16712,710,296,"N8",-8,-8
16713,710,297,"N9",-9,-9
16714,729,250,"N1",-1,-1
16715,729,251,"N10",-10,-10
16716,729,252,"N11",-11,-11
16717,729,253,"N12",-12,-12
16718,729,254,"N13",-13,-13
16719,729,255,"N14",-14,-14
