study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Johnson & Johnson,Delta,severe,hosp,,18,65,0.61,0.09,0.844,0,0,,21,24,severe,22.5,22.5,Non_Omicron,513&US NC mixed hosp&Delta&hosp&18&65,0.51,0.19234693877551,0.0400053346136992,0.769695633355383,0.22801181969456
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Johnson & Johnson,Delta,severe,death,,18,65,0.62,0.03,0.85,0,0,,21,24,severe,22.5,22.5,Non_Omicron,513&US NC mixed deaths&Delta&death&18&65,0.52,0.209183673469388,0.0800427076735366,0.838075614861329,0.218643266644049
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,severe,hosp,,18,49,0.959,0.916,0.984,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.859,0.0173469387755102,1.80700903160609,0.143222275411044,0.759256602365297
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,severe,hosp,,18,49,0.883,0.769,0.95,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.783,0.0461734693877551,1.28323534245034,0.27175091305304,0.465375746720174
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,severe,hosp,,18,49,0.948,0.877,0.983,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.848,0.0270408163265306,1.71900011494563,0.209787862513426,0.608121139868297
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,severe,hosp,,18,49,0.938,0.902,0.963,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.838,0.0155612244897959,1.6434217652497,0.114626421593122,0.801637668039416
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,severe,hosp,,50,64,0.882,0.833,0.918,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.782,0.0216836734693878,1.27735967775622,0.127194874758839,0.679099750101732
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,severe,hosp,,50,64,0.91,0.826,0.959,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.81,0.0339285714285714,1.450010175506,0.220458553791887,0.542896714030637
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,severe,hosp,,50,64,0.904,0.83,0.951,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.804,0.0308673469387755,1.41148460994845,0.195878686534011,0.569180939727219
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,severe,hosp,,50,64,0.928,0.901,0.95,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.828,0.0125,1.57151867757181,0.087771036962139,0.894427190999917
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.855,0.815,0.888,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.755,0.0186224489795919,1.1254595387043,0.100675491172277,0.732793491626299
