study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,Alpha,severe,hosp,,18,85,0.88,0.1,0.9972,0,0,,9,12,severe,10.5,10.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.78,0.228877551020408,1.26566637333128,1.33378526235669,0.209025081315172
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,Alpha,severe,hosp,,18,85,0.943,0.64,0.9986,0,0,,13,16,severe,14.5,14.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.843,0.0914795918367347,1.68072115265355,0.691189275764707,0.330626676002635
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,Alpha,severe,hosp,,18,85,0.954,0.72,0.9989,0,0,,17,20,severe,18.5,18.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.854,0.0711479591836735,1.76632457208023,0.570626216544813,0.374902879738587
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,Alpha,severe,hosp,,18,85,0.99,0.2,0.99,0,0,,21,24,severe,22.5,22.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.89,0.201530612244898,2.09074109693377,2.05853536511642,0.222756039569204
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Moderna,Delta,severe,hosp,,18,85,0.81,0.33,0.963,0,0,,25,28,severe,26.5,26.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Delta&hosp&18&85,0.71,0.161479591836735,0.895384047054841,0.784262223587832,0.248852024652756
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,Delta,severe,hosp,,18,65,0.94,0.27,0.95,0,0,,21,24,severe,22.5,22.5,Non_Omicron,513&US NC mixed hosp&Delta&hosp&18&65,0.84,0.173469387755102,1.65822807660353,1.29069484936832,0.240098019199512
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,Delta,severe,hosp,,18,65,0.925,0.9,0.945,0,0,,25,28,severe,26.5,26.5,Non_Omicron,513&US NC mixed hosp&Delta&hosp&18&65,0.825,0.0114795918367347,1.55059741241117,0.0795123244102835,0.933333333333334
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Moderna,Delta,severe,hosp,,18,65,0.945,0.88,0.97,0,0,,29,32,severe,30.5,30.5,Non_Omicron,513&US NC mixed hosp&Delta&hosp&18&65,0.845,0.0229591836734694,1.69591151043793,0.175294397201522,0.659966329107444
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,Delta,severe,death,,18,65,0.91,0.86,0.94,0,0,,21,24,severe,22.5,22.5,Non_Omicron,513&US NC mixed deaths&Delta&death&18&65,0.81,0.0204081632653061,1.450010175506,0.132606648897376,0.7
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,Delta,severe,death,,18,65,0.94,0.9,0.954,0,0,,25,28,severe,26.5,26.5,Non_Omicron,513&US NC mixed deaths&Delta&death&18&65,0.84,0.0137755102040816,1.65822807660353,0.102496355685131,0.852012867230259
