study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,Delta,severe,hosp,,16,60,0.82,0.66,0.9,0,0,,19,22,severe,20.5,20.5,Non_Omicron,500&Israel Delta Hosp&Delta&hosp&16&60,0.72,0.0612244897959184,0.944461608840851,0.303692905733722,0.404145188432738
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,Delta,severe,hosp,,16,60,0.91,0.81,0.94,0,0,,15,18,severe,16.5,16.5,Non_Omicron,500&Israel Delta Hosp&Delta&hosp&16&60,0.81,0.0331632653061224,1.450010175506,0.215485804458235,0.549125178386916
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,Delta,severe,hosp,,16,60,0.89,0.77,0.94,0,0,,10,14,severe,12,12,Non_Omicron,500&Israel Delta Hosp&Delta&hosp&16&60,0.79,0.0433673469387755,1.3249254147436,0.261406551770799,0.480196038399025
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,Delta,severe,hosp,,16,60,0.83,0.47,0.94,0,0,,2,9,severe,5.5,5.5,Non_Omicron,500&Israel Delta Hosp&Delta&hosp&16&60,0.73,0.119897959183673,0.994622575144062,0.608310295198749,0.288797948952462
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,Delta,severe,death,,16,60,0.86,0.71,0.94,0,0,,19,22,severe,20.5,20.5,Non_Omicron,500&Israel Delta Death&Delta&death&16&60,0.76,0.0586734693877551,1.15267950993839,0.321674722520587,0.412837477233712
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,Delta,severe,death,,16,60,0.91,0.79,0.96,0,0,,15,18,severe,16.5,16.5,Non_Omicron,500&Israel Delta Death&Delta&death&16&60,0.81,0.0433673469387755,1.450010175506,0.281789128906923,0.480196038399025
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,Delta,severe,death,,16,60,0.94,0.79,0.98,0,0,,10,14,severe,12,12,Non_Omicron,500&Israel Delta Death&Delta&death&16&60,0.84,0.048469387755102,1.65822807660353,0.360635325558795,0.454219979166135
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,Delta,severe,death,,16,60,0.84,0.24,0.96,0,0,,2,9,severe,5.5,5.5,Non_Omicron,500&Israel Delta Death&Delta&death&16&60,0.74,0.183673469387755,1.04596855518269,0.954643811786669,0.233333333333333
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Pfizer & BioNTech,Alpha,severe,hosp,,18,85,0.89,0.18,0.9974,0,0,,9,12,severe,10.5,10.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.79,0.208520408163265,1.3249254147436,1.25690420833795,0.218990722699236
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed hosp,"",Pfizer & BioNTech,Alpha,severe,hosp,,18,85,0.9,0.57,0.988,0,0,,13,16,severe,14.5,14.5,Non_Omicron,505&USA Mayo Clinic mixed hosp&Alpha&hosp&18&85,0.8,0.106632653061225,1.38629436111989,0.666454081632653,0.306235047481865
