exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,study_id2,mid_point1,mid_point,or,e_mean,se,mean_logit,sd_logit,or_lower,or_upper,or_log,se_log,insesqua,insesqua_reduced
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.99,0.98,0.99,1,,0,8,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,4,4,0.01,0.89,0.00255102040816327,2.09074109693377,0.0260574096850181,0.01,0.02,-4.60517018598809,0.176823260346925,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.97,0.965,0.975,1,,9,16,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,12.5,12.5,0.03,0.87,0.00255102040816327,1.90095876119305,0.0225554412746531,0.025,0.035,-3.50655789731998,0.0858347542401054,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.91,0.905,0.915,1,,17,24,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,20.5,20.5,0.09,0.81,0.00255102040816327,1.450010175506,0.016575831112172,0.085,0.095,-2.40794560865187,0.0283738865077103,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.92,0.915,0.925,1,,25,32,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,28.5,28.5,0.08,0.82,0.00255102040816327,1.51634748936809,0.0172833360986671,0.075,0.085,-2.52572864430826,0.0319293732025526,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.9,0.895,0.905,1,,33,40,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,36.5,36.5,0.1,0.8,0.00255102040816327,1.38629436111989,0.0159438775510204,0.095,0.105,-2.30258509299405,0.0255314945298425,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.84,0.835,0.845,1,,41,48,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,44.5,44.5,0.16,0.74,0.00255102040816327,1.04596855518269,0.0132589418303704,0.155,0.165,-1.83258146374831,0.0159490706585036,1.97989898732233,1.48492424049175
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.79,0.78,0.8,1,,49,56,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,52.5,52.5,0.21,0.69,0.00510204081632654,0.800119300112113,0.0238524582343457,0.2,0.22,-1.56064774826467,0.0243138213786543,1.4,1.05
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.685,0.72,1,,57,64,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,60.5,60.5,0.29,0.61,0.00892857142857141,0.447312218043665,0.0375307752356932,0.28,0.315,-1.23787435600162,0.0300466927694855,1.05830052442584,0.793725393319378
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.65,0.78,1,,65,72,infection,Ancestral,Ancestral,1&Ancestral&Ancestral,68.5,68.5,0.29,0.61,0.0331632653061225,0.447312218043665,0.139400022304004,0.22,0.35,-1.23787435600162,0.118445308196709,0.549125178386915,0.411843883790186
0,3,Hansen C,78,Denmark,1,Ancestral,Ancestral,infection,infection,,0.793,0.744,0.833,1,,12,24,infection,Ancestral,Ancestral,3&Ancestral&Ancestral,18,18,0.207,0.693,0.0227040816326531,0.814182251602706,0.106716685856485,0.167,0.256,-1.57503648571677,0.108975416342553,0.663663648395968,0.497747736296976
0,3,Hansen C,78,Denmark,1,Ancestral,Ancestral,infection,infection,,0.777,0.709,0.829,1,,25,32,infection,Ancestral,Ancestral,3&Ancestral&Ancestral,28.5,28.5,0.223,0.677,0.0306122448979592,0.740018949689619,0.139992248162578,0.171,0.291,-1.50058350752202,0.135627477211437,0.571547606649408,0.428660704987056
0,8,Abu-Raddad L,151,Qatar,1,Ancestral,Ancestral,infection,infection,,0.927,0.913,0.939,2,17,,,infection,Ancestral,Ancestral,8&Ancestral&Ancestral,,17,0.073,0.827,0.00663265306122447,1.56451310052591,0.0463591717484638,0.0610000000000001,0.087,-2.61729583783375,0.0905699628778754,1.22788122702984,0.920910920272382
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.86,0.81,0.89,1,,0,51,infection,Ancestral,Ancestral,10&Ancestral&Ancestral,25.5,25.5,0.14,0.76,0.0204081632653061,1.15267950993839,0.111886860007161,0.11,0.19,-1.96611285637283,0.139424414889814,0.7,0.525
0,10,Hall V,102,United Kingdom,1,all variant,all variant,infection,infection,,0.69,0.38,0.84,1,,52,104,infection,Ancestral,Ancestral,10&Ancestral&Ancestral,78,78,0.31,0.59,0.11734693877551,0.363965377201412,0.485105162362589,0.16,0.62,-1.17118298150294,0.345547362960538,0.291920179679905,0.218940134759929
0,11,Pilz S,75,Austria,1,Ancestral,Ancestral,infection,infection,,0.91,0.87,0.93,2,30,,,infection,Ancestral,Ancestral,11&Ancestral&Ancestral,,30,0.09,0.81,0.0153061224489796,1.450010175506,0.0994549866730319,0.07,0.13,-2.40794560865187,0.157918165409751,0.808290376865476,0.606217782649107
0,12,Rennert L,102,United States,1,Ancestral,mixed variant,infection,infection,,0.84,0.78,0.88,2,18,,,infection,Ancestral,Ancestral,12&Ancestral&Ancestral,,18,0.16,0.74,0.0255102040816327,1.04596855518269,0.132589418303704,0.12,0.22,-1.83258146374831,0.154626480502631,0.626099033699941,0.469574275274956
0,13,Sheehan M,102,United States,1,Ancestral,Ancestral,infection,infection,,0.818,0.766,0.858,2,20,,,infection,Ancestral,Ancestral,13&Ancestral&Ancestral,,20,0.182,0.718,0.023469387755102,0.934562498110111,0.115911948848762,0.142,0.234,-1.70374859190534,0.127421953509296,0.65275336576822,0.489565024326165
0,14,Vitale J,86,Italy,1,Ancestral,Ancestral,infection,infection,,0.94,0.92,0.95,2,34,,,infection,Ancestral,Ancestral,14&Ancestral&Ancestral,,34,0.0600000000000001,0.84,0.00765306122448978,1.65822807660353,0.0569424198250727,0.05,0.08,-2.81341071676004,0.119898885011667,1.14309521329882,0.857321409974114
0,19,Breathnach A,95,United Kingdom,1,Ancestral,Ancestral,infection,infection,,0.94,0.88,0.97,2,32,,,infection,Ancestral,Ancestral,19&Ancestral&Ancestral,,32,0.0600000000000001,0.84,0.0229591836734694,1.65822807660353,0.170827259475219,0.03,0.12,-2.81341071676004,0.35364652069385,0.659966329107444,0.494974746830583
