exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,or,e_mean,se,mean_logit,sd_logit,or_lower,or_upper,or_log,se_log,insesqua
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.99,0.98,0.99,1,,0,8,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,4,4,0.01,0.89,0.00255102040816327,2.09074109693377,0.0260574096850181,0.01,0.02,-4.60517018598809,0.176823260346925,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.97,0.965,0.975,1,,9,16,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,12.5,12.5,0.03,0.87,0.00255102040816327,1.90095876119305,0.0225554412746531,0.025,0.035,-3.50655789731998,0.0858347542401054,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.91,0.905,0.915,1,,17,24,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,20.5,20.5,0.09,0.81,0.00255102040816327,1.450010175506,0.016575831112172,0.085,0.095,-2.40794560865187,0.0283738865077103,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.92,0.915,0.925,1,,25,32,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,28.5,28.5,0.08,0.82,0.00255102040816327,1.51634748936809,0.0172833360986671,0.075,0.085,-2.52572864430826,0.0319293732025526,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.9,0.895,0.905,1,,33,40,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,36.5,36.5,0.1,0.8,0.00255102040816327,1.38629436111989,0.0159438775510204,0.095,0.105,-2.30258509299405,0.0255314945298425,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.84,0.835,0.845,1,,41,48,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,44.5,44.5,0.16,0.74,0.00255102040816327,1.04596855518269,0.0132589418303704,0.155,0.165,-1.83258146374831,0.0159490706585036,1.97989898732233
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.79,0.78,0.8,1,,49,56,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,52.5,52.5,0.21,0.69,0.00510204081632654,0.800119300112113,0.0238524582343457,0.2,0.22,-1.56064774826467,0.0243138213786543,1.4
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.685,0.72,1,,57,64,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,60.5,60.5,0.29,0.61,0.00892857142857141,0.447312218043665,0.0375307752356932,0.28,0.315,-1.23787435600162,0.0300466927694855,1.05830052442584
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.65,0.78,1,,65,72,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,68.5,68.5,0.29,0.61,0.0331632653061225,0.447312218043665,0.139400022304004,0.22,0.35,-1.23787435600162,0.118445308196709,0.549125178386915
0,3,Hansen C,78,Denmark,1,Ancestral,Ancestral,infection,infection,,0.793,0.744,0.833,1,,12,24,infection,Ancestral,Ancestral,Non_Omicron,3&Ancestral&Ancestral,18,18,0.207,0.693,0.0227040816326531,0.814182251602706,0.106716685856485,0.167,0.256,-1.57503648571677,0.108975416342553,0.663663648395968
