exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,or,e_mean,se,mean_logit,sd_logit,or_lower,or_upper,or_log,se_log,insesqua
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,severe,hosp,,0.87,0.73,0.94,1,,2,24,severe,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,13,13,0.13,0.77,0.0535714285714286,1.20831120592453,0.302492538517383,0.0600000000000001,0.27,-2.04022082852655,0.383693213463335,0.432049379893857
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,severe,hosp,,0.92,0.86,0.96,1,,25,52,severe,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,38.5,38.5,0.08,0.82,0.0255102040816327,1.51634748936809,0.172833360986671,0.04,0.14,-2.52572864430826,0.319582389922287,0.626099033699941
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,severe,hosp,,0.99,0.98,0.99,1,,2,24,severe,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,13,13,0.01,0.89,0.00255102040816327,2.09074109693377,0.0260574096850181,0.01,0.02,-4.60517018598809,0.176823260346925,1.97989898732233
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,severe,hosp,,0.95,0.93,0.96,1,,25,52,severe,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,38.5,38.5,0.05,0.85,0.00765306122448978,1.73460105538811,0.0600240096038414,0.04,0.07,-2.99573227355399,0.142759129575362,1.14309521329882
0,26,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,severe,hosp,,0.716,0.157,0.904,2,46,,,severe,Ancestral,Omicron,Omicron,26&Ancestral&Omicron,,46,0.284,0.616,0.190561224489796,0.472604410945793,0.80560582593427,0.096,0.843,-1.25878104082093,0.554239481258678,0.229077657047781
0,26,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529.2,severe,hosp,,0.734,0.002,0.929,2,46,,,severe,Ancestral,Omicron,Omicron,26&Ancestral&Omicron,,46,0.266,0.634,0.236479591836735,0.54941562103586,1.01911530501428,0.071,0.998,-1.32425897020044,0.674253418181161,0.205637902978308
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.845,0.731,0.911,1,,12,23,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,17.5,17.5,0.155,0.745,0.0459183673469388,1.07212067322113,0.241707421223523,0.089,0.269,-1.86433016206289,0.282161992313699,0.466666666666667
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.895,0.86,0.922,1,,24,51,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,37.5,37.5,0.105,0.795,0.0158163265306123,1.35533213551592,0.0970475626974214,0.078,0.14,-2.25379492882461,0.149217754061151,0.79514656794589
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.803,0.744,0.848,1,,52,64,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,58,58,0.197,0.703,0.026530612244898,0.861624753007965,0.127067796240729,0.152,0.256,-1.62455155024415,0.132983909090124,0.613940613514921
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.89,0.86,0.91,1,,13,24,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,18.5,18.5,0.11,0.79,0.0127551020408163,1.3249254147436,0.0768842799325879,0.09,0.14,-2.20727491318972,0.112712436805877,0.885437744847146
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.85,0.09,0.78,1,,25,36,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,30.5,30.5,0.15,0.75,0.176020408163265,1.09861228866811,0.938775510204082,0.22,0.91,-1.89711998488588,0.362198227846565,0.23835182861245
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.78,0.085,0.66,1,,37,48,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,42.5,42.5,0.22,0.68,0.146683673469388,0.75377180237638,0.674097764105642,0.34,0.915,-1.51412773262978,0.252545522363601,0.261101346307288
