study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit,in_var
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.76,0.1,0.94,0,0,,0,1,infection,0.5,0.5,1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80,0.66,0.214285714285714,0.663294217410264,0.954927425515661,0.216024689946929
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.77,0.38,0.92,0,0,,2,3,infection,2.5,2.5,1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80,0.67,0.137755102040816,0.708185057924486,0.623044333065655,0.269430125621825
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.68,0.6,0.75,0,0,,4,7,infection,5.5,5.5,1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80,0.58,0.038265306122449,0.322773392263051,0.157082537448477,0.511207720338155
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.72,0.67,0.76,0,0,,8,11,infection,9.5,9.5,1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80,0.62,0.0229591836734694,0.489548225318706,0.0974498458126884,0.659966329107444
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.65,0.57,0.72,0,0,,12,15,infection,13.5,13.5,1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80,0.55,0.038265306122449,0.200670695462151,0.15460729746444,0.511207720338155
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.74,-0.07,0.94,0,0,,2,3,infection,2.5,2.5,1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80,0.64,0.25765306122449,0.575364144903562,1.11828585600907,0.197007312524482
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.78,0.58,0.89,0,0,,4,7,infection,5.5,5.5,1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80,0.68,0.0790816326530613,0.75377180237638,0.363426620648259,0.355600355600533
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.76,0.67,0.83,0,0,,8,11,infection,9.5,9.5,1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80,0.66,0.0408163265306122,0.663294217410264,0.181890938193459,0.494974746830583
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,B.1.617.2,infection,infection,,18,80,0.72,0.66,0.77,0,0,,12,15,infection,13.5,13.5,1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80,0.62,0.0280612244897959,0.489548225318706,0.119105367104397,0.596962005795709
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,B.1.617.2,infection,infection,,25,65,0.49,0.16,0.69,0,0,,2,10,infection,6,6,520&UK delta&B.1.617.2&infection&25&65,0.39,0.135204081632653,-0.447312218043665,0.568323167854784,0.271960041460034
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,B.1.617.2,infection,infection,,25,65,0.47,0.26,0.63,0,0,,11,19,infection,15,15,520&UK delta&B.1.617.2&infection&25&65,0.37,0.0943877551020408,-0.532216813747308,0.404923874311629,0.325493388482694
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,B.1.617.2,infection,infection,,25,65,0.51,0.18,0.71,0,0,,20,27,infection,23.5,23.5,520&UK delta&B.1.617.2&infection&25&65,0.41,0.135204081632653,-0.363965377201412,0.558925513156896,0.271960041460034
531,Berec L,0,47,47,Czechia,Czech delta,"",AstraZeneca,B.1.617.2,infection,infection,,12,65,0.72,0.7,0.735,0,0,,12,20,infection,16,16,531&Czech delta&B.1.617.2&infection&12&65,0.62,0.00892857142857144,0.489548225318706,0.03789716226049,1.05830052442584
