study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.99,0.66,0.99,0,0,,2,8,infection,5,5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.89,0.0841836734693878,2.09074109693377,0.859894519605595
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Moderna,Ancestral,infection,infection,,18,85,0.909,0.71,0.982,0,0,,9,12,infection,10.5,10.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.809,0.0693877551020408,1.44352548901186,0.449056459736607
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Moderna,Ancestral,infection,infection,,18,85,0.915,0.82,0.967,0,0,,13,16,infection,14.5,14.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.815,0.0375,1.48283228816254,0.248714972641353
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Moderna,Ancestral,infection,infection,,18,85,0.931,0.83,0.978,0,0,,17,20,infection,18.5,18.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.831,0.0377551020408163,1.59273107993237,0.268836306444907
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Moderna,Ancestral,infection,infection,,18,85,0.62,0.12,0.85,0,0,,21,24,infection,22.5,22.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.52,0.186224489795918,0.0800427076735366,0.746091705913135
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.99,0.61,0.99,0,0,,2,8,infection,5,5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.89,0.0969387755102041,2.09074109693377,0.990181568030685
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.89,0.69,0.972,0,0,,9,12,infection,10.5,10.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.79,0.0719387755102041,1.3249254147436,0.433627338819796
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.88,0.77,0.941,0,0,,13,16,infection,14.5,14.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.78,0.0436224489795918,1.26566637333128,0.254210075638647
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.83,0.69,0.913,0,0,,17,20,infection,18.5,18.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.73,0.0568877551020408,0.994622575144062,0.288623820913449
505,Puranik A,0,102,102,United States,USA Mayo Clinic mixed,"",Pfizer & BioNTech,Ancestral,infection,infection,,18,85,0.82,0.47,0.954,0,0,,21,24,infection,22.5,22.5,505&USA Mayo Clinic mixed&Ancestral&infection&18&85,0.72,0.123469387755102,0.944461608840851,0.612447359896339
537,Prunas O,0,85,85,Israel,Israel delta,"",Pfizer & BioNTech,Ancestral,infection,infection,,12,16,0.52,0.489,0.552,0,0,,0,2,infection,1,1,537&Israel delta&Ancestral&infection&12&16,0.42,0.0160714285714286,-0.322773392263051,0.0659746657283604
537,Prunas O,0,85,85,Israel,Israel delta,"",Pfizer & BioNTech,Ancestral,infection,infection,,12,16,0.85,0.84,0.864,0,0,,2,12,infection,7,7,537&Israel delta&Ancestral&infection&12&16,0.75,0.00612244897959184,1.09861228866811,0.0326530612244898
