study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.883,0.867,0.897,0,0,,0,4,infection,2,2,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.87,0.00944822373393803,1.90095876119305,0.0835386713876041,1.02878569196893
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.822,0.803,0.839,0,0,,5,8,infection,6.5,6.5,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.802222222222222,0.0113378684807256,1.40024158860074,0.0714593783605755,0.939148550549913
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.728,0.707,0.748,0,0,,9,12,infection,10.5,10.5,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.697777777777778,0.012912572436382,0.836738100172203,0.0612307024720717,0.880022172669668
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.585,0.557,0.61,0,0,,13,16,infection,14.5,14.5,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.538888888888889,0.0166918619299571,0.155870370706785,0.0671738077916546,0.774011847210779
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.366,0.318,0.41,0,0,,17,20,infection,18.5,18.5,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.295555555555556,0.0289745527840766,-0.868552645655525,0.13916526977006,0.587478029191398
511,Cohn B,0,102,102,United States,US  veterans delta,"",Johnson & Johnson,Delta,infection,infection,619755,18,65,0.11,-0.0662,0.12,0,0,,21,24,infection,22.5,22.5,Non_Omicron,non_mRNA,511&US  veterans delta&Delta&infection&18&65,0.0111111111111111,0.058641975308642,-4.48863636973214,5.3370786516854,0.412948320967011
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.522,0.48,0.563,0,0,,0,7,infection,3.5,3.5,Non_Omicron,non_mRNA,512&Puerto Rico(delta)&Delta&infection&18&85,0.468888888888889,0.0261400856638952,-0.124605418455444,0.104966732374998,0.618509674029008
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.38,0.33,0.45,0,0,,8,14,infection,11,11,Non_Omicron,non_mRNA,512&Puerto Rico(delta)&Delta&infection&18&85,0.311111111111111,0.0377928949357521,-0.794929874869888,0.176337816232484,0.514392845984467
512,Robles-Fontan M,0,385,385,Puerto Rico,Puerto Rico(delta),"",Johnson & Johnson,Delta,infection,infection,,18,85,0.27,0.17,0.37,0,0,,15,22,infection,18.5,18.5,Non_Omicron,non_mRNA,512&Puerto Rico(delta)&Delta&infection&18&85,0.188888888888889,0.0629881582262535,-1.45724609709217,0.411123353450969,0.398446985181216
513,Dan-Yu L,0,102,102,United States,US NC mixed,"",Johnson & Johnson,Delta,infection,infection,,18,65,0.69,0.66,0.715,0,0,,21,24,infection,22.5,22.5,Non_Omicron,non_mRNA,513&US NC mixed&Delta&infection&18&65,0.655555555555556,0.0173217435122197,0.643550239420575,0.0767119313553743,0.759808588335965
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.76,0.1,0.94,0,0,,0,1,infection,0.5,0.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta)&Delta&infection&18&80,0.733333333333333,0.264550264550265,1.01160091167848,1.35281385281385,0.194422220952236
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.77,0.38,0.92,0,0,,2,3,infection,2.5,2.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta)&Delta&infection&18&80,0.744444444444444,0.170068027210884,1.06919840346181,0.893933173528982,0.242487113059643
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.68,0.6,0.75,0,0,,4,7,infection,5.5,5.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta)&Delta&infection&18&80,0.644444444444444,0.0472411186696901,0.594707107746691,0.206170830401126,0.46008694830434
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.72,0.67,0.76,0,0,,8,11,infection,9.5,9.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta)&Delta&infection&18&80,0.688888888888889,0.028344671201814,0.794929874869888,0.132253362174363,0.5939696961967
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.65,0.57,0.72,0,0,,12,15,infection,13.5,13.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta)&Delta&infection&18&80,0.611111111111111,0.0472411186696901,0.451985123743057,0.198780811025709,0.46008694830434
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.74,-0.07,0.94,0,0,,2,3,infection,2.5,2.5,Non_Omicron,non_mRNA,1001&Canada(Quebec/Delta)&Delta&infection&18&80,0.711111111111111,0.31809019904258,0.900786545338189,1.54839580062794,0.177306581272034
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.78,0.58,0.89,0,0,,4,7,infection,5.5,5.5,Non_Omicron,non_mRNA,1001&Canada(Quebec/Delta)&Delta&infection&18&80,0.755555555555556,0.0976316452506929,1.12846525181779,0.528620539124742,0.32004032004048
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.76,0.67,0.83,0,0,,8,11,infection,9.5,9.5,Non_Omicron,non_mRNA,1001&Canada(Quebec/Delta)&Delta&infection&18&80,0.733333333333333,0.0503905265810028,1.01160091167848,0.2576788291074,0.445477272147525
1001,Skowronski D,0,101,101,Canada,Canada(Quebec/Delta),"",AstraZeneca,Delta,infection,infection,,18,80,0.72,0.66,0.77,0,0,,12,15,infection,13.5,13.5,Non_Omicron,non_mRNA,1001&Canada(Quebec/Delta)&Delta&infection&18&80,0.688888888888889,0.0346434870244394,0.794929874869888,0.16164299821311,0.537265805216138
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,Delta,infection,infection,,25,65,0.49,0.16,0.69,0,0,,2,10,infection,6,6,Non_Omicron,non_mRNA,520&UK delta&Delta&infection&25&65,0.433333333333333,0.166918619299572,-0.268263986594681,0.679759083120428,0.244764037314031
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,Delta,infection,infection,,25,65,0.47,0.26,0.63,0,0,,11,19,infection,15,15,Non_Omicron,non_mRNA,520&UK delta&Delta&infection&25&65,0.411111111111111,0.116528092718569,-0.359374000907898,0.481324605313824,0.292944049634425
520,Hall V,0,95,95,United Kingdom,UK delta,"",AstraZeneca,Delta,infection,infection,,25,65,0.51,0.18,0.71,0,0,,20,27,infection,23.5,23.5,Non_Omicron,non_mRNA,520&UK delta&Delta&infection&25&65,0.455555555555556,0.166918619299572,-0.178248231406317,0.672991944413405,0.244764037314031
531,Berec L,0,47,47,Czechia,Czech delta,"",AstraZeneca,Delta,infection,infection,,12,65,0.72,0.7,0.735,0,0,,12,20,infection,16,16,Non_Omicron,non_mRNA,531&Czech delta&Delta&infection&12&65,0.688888888888889,0.0110229276895944,0.794929874869888,0.0514318630678078,0.952470471983252
531,Berec L,0,47,47,Czechia,Czech delta,"",AstraZeneca,Delta,infection,infection,,12,65,0.56,0.545,0.57,0,0,,21,28,infection,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta&Delta&infection&12&65,0.511111111111111,0.00787351977828166,0.0444517625708332,0.031509639428894,1.1269782606599
531,Berec L,0,47,47,Czechia,Czech delta,"",Johnson & Johnson,Delta,infection,infection,,12,65,0.695,0.68,0.71,0,0,,12,20,infection,16,16,Non_Omicron,non_mRNA,531&Czech delta&Delta&infection&12&65,0.661111111111111,0.00944822373393799,0.668249628938218,0.0421714353188581,1.02878569196894
531,Berec L,0,47,47,Czechia,Czech delta,"",Johnson & Johnson,Delta,infection,infection,,12,65,0.67,0.65,0.69,0,0,,21,28,infection,24.5,24.5,Non_Omicron,non_mRNA,531&Czech delta&Delta&infection&12&65,0.633333333333333,0.0125976316452507,0.546543706368068,0.0542481745489263,0.890954544295051
1005,Pouwels K,0,95,95,United Kingdom,UK 5 delta,"",AstraZeneca,Delta,infection,infection,,18,64,0.68,0.61,0.73,0,0,,0,2,infection,1,1,Non_Omicron,non_mRNA,1005&UK 5 delta&Delta&infection&18&64,0.644444444444444,0.0377928949357521,0.594707107746691,0.164936664320901,0.514392845984467
1005,Pouwels K,0,95,95,United Kingdom,UK 5 delta,"",AstraZeneca,Delta,infection,infection,,18,64,0.66,0.61,0.71,0,0,,3,4,infection,3.5,3.5,Non_Omicron,non_mRNA,1005&UK 5 delta&Delta&infection&18&64,0.622222222222222,0.0314940791131267,0.498991166118987,0.133982164294289,0.563489130329947
1005,Pouwels K,0,95,95,United Kingdom,UK 5 delta,"",AstraZeneca,Delta,infection,infection,,18,64,0.64,0.58,0.69,0,0,,5,8,infection,6.5,6.5,Non_Omicron,non_mRNA,1005&UK 5 delta&Delta&infection&18&64,0.6,0.0346434870244394,0.405465108108164,0.144347862601831,0.537265805216138
1005,Pouwels K,0,95,95,United Kingdom,UK 5 delta,"",AstraZeneca,Delta,infection,infection,,18,64,0.61,0.53,0.68,0,0,,9,12,infection,10.5,10.5,Non_Omicron,non_mRNA,1005&UK 5 delta&Delta&infection&18&64,0.566666666666667,0.0472411186696901,0.268263986594681,0.192384646166159,0.46008694830434
558,Voko Z,0,48,48,Hungary,Hungary delta 18-64,"",AstraZeneca,Delta,infection,infection,,18,64,0.392,0.364,0.419,0,0,,2,17,infection,9.5,9.5,Non_Omicron,non_mRNA,558&Hungary delta 18-64&Delta&infection&18&64,0.324444444444444,0.0173217435122197,-0.733421079697887,0.07902967423451,0.759808588335965
