study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
513,Dan-Yu L,0,102,102,United States,US NC mixed hosp,"",Johnson & Johnson,Delta,Severe,hosp,,18,65,0.61,0.09,0.844,0,0,,21,24,severe,22.5,22.5,Non_Omicron,non_mRNA,513&US NC mixed hosp&Delta&hosp&18&65,0.566666666666667,0.237465356512976,0.268263986594681,0.967053488061891,0.205210637725104
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Johnson & Johnson,Delta,Severe,death,,18,65,0.62,0.03,0.85,0,0,,21,24,severe,22.5,22.5,Non_Omicron,non_mRNA,513&US NC mixed deaths&Delta&death&18&65,0.577777777777778,0.258251448727639,0.313657558855042,1.05862182929852,0.196778939979644
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",AstraZeneca,Delta,Severe,hosp,,18,80,0.84,0.51,0.95,0,0,,4,7,severe,5.5,5.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.822222222222222,0.138573948097758,1.53147637096439,0.948014340871483,0.268632902608069
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",AstraZeneca,Delta,Severe,hosp,,18,80,0.93,0.84,0.97,0,0,,8,11,severe,9.5,9.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.922222222222222,0.0409423028470648,2.47293045874128,0.570796304752537,0.494212660548224
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",AstraZeneca,Delta,Severe,hosp,,18,80,0.92,0.81,0.97,0,0,,12,15,severe,13.5,13.5,Non_Omicron,non_mRNA,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.911111111111111,0.0503905265810028,2.32727770558442,0.622200099552015,0.445477272147525
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,Severe,hosp,,18,49,0.959,0.916,0.984,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.954444444444444,0.0214159737969262,3.04219685527994,0.492544898364804,0.683330942128767
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,Severe,hosp,,18,49,0.883,0.769,0.95,0,0,,5,8,severe,6.5,6.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.87,0.0570042831947594,1.90095876119305,0.504016650705211,0.418838172048156
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,Severe,hosp,,18,49,0.948,0.877,0.983,0,0,,9,12,severe,10.5,10.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.942222222222222,0.0333837238599143,2.79163691721047,0.613226059654628,0.547309025881468
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Johnson & Johnson,Delta,Severe,hosp,,18,49,0.938,0.902,0.963,0,0,,13,16,severe,14.5,14.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.931111111111111,0.0192113882590073,2.60388371543699,0.299507746743319,0.721473901235474
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,Severe,hosp,,50,64,0.882,0.833,0.918,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.868888888888889,0.0267699672461577,1.89117011607965,0.234987141503617,0.611189775091559
