study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.552,0.235,0.737,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.452,0.128061224489796,-0.192593107115784,0.517009658976309,0.27944167441953
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.161,-0.208,0.417,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.061,0.159438775510204,-2.73394161503495,2.78354677124608,0.250439613479976
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.098,-0.1,0.261,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.01,0.0920918367346939,-4.59511985013459,9.30220573077716,0.329525807210495
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.367,-0.699,0.764,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.267,0.373214285714286,-1.0098970434864,1.9069663213324,0.163689518214227
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.3,-0.413,0.654,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.2,0.27219387755102,-1.38629436111989,1.70121173469388,0.191672948567987
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.042,-0.308,0.298,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.01,0.154591836734694,-4.59511985013459,15.6153370439085,0.254335346829466
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.44,0.351,0.516,0,0,,2,12,infection,7,7,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.34,0.0420918367346939,-0.663294217410264,0.187575030012005,0.487417436675954
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.235,0.164,0.3,0,0,,13,25,infection,19,19,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.135,0.0346938775510204,-1.85745472849345,0.297100214523831,0.536875492193159
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.138,0.102,0.173,0,0,,26,38,infection,32,32,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.038,0.0181122448979592,-3.23142829093932,0.495465721029631,0.743042849407985
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.059,0.004,0.11,0,0,,39,50,infection,44.5,44.5,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.01,0.0270408163265306,-4.59511985013459,2.73139558853845,0.608121139868297
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.68,0.63,0.72,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.58,0.0229591836734694,0.322773392263051,0.0942495224690861,0.659966329107444
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.57,0.55,0.6,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.47,0.0127551020408163,-0.120144311842063,0.0512047452461514,0.885437744847147
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.5,0.48,0.52,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.4,0.0102040816326531,-0.405465108108164,0.0425170068027211,0.989949493661166
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.48,0.47,0.5,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.38,0.0076530612244898,-0.489548225318706,0.0324832819375628,1.14309521329882
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.34,0.31,0.36,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.24,0.0127551020408163,-1.15267950993839,0.0699292875044755,0.885437744847146
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.2,0.16,0.23,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.1,0.0178571428571429,-2.19722457733622,0.198412698412698,0.748331477354788
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.2,0.06,0.16,0,0,,12,13,infection,12.5,12.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.1,0.0255102040816327,-2.19722457733622,0.283446712018141,0.626099033699941
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.85,0.84,0.86,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.75,0.00510204081632654,1.09861228866811,0.0272108843537415,1.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.82,0.81,0.83,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.72,0.00510204081632651,0.944461608840851,0.0253077421444767,1.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.66,0.64,0.67,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.56,0.0076530612244898,0.241162056816888,0.0310595017227671,1.14309521329882
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.57,0.56,0.58,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.47,0.00510204081632651,-0.120144311842063,0.0204818980984605,1.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.55,0.54,0.56,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.45,0.00510204081632654,-0.200670695462151,0.0206143063285921,1.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.53,0.52,0.54,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.43,0.00510204081632654,-0.281851152140988,0.0208161600013323,1.4
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.51,0,0,,12,13,infection,12.5,12.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.4,0.0076530612244898,-0.405465108108164,0.0318877551020408,1.14309521329882
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.5,0.48,0.52,0,0,,14,15,infection,14.5,14.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.4,0.0102040816326531,-0.405465108108164,0.0425170068027211,0.989949493661166
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.51,0.48,0.54,0,0,,16,17,infection,16.5,16.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.41,0.0153061224489796,-0.363965377201412,0.0632745863951203,0.808290376865476
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.1,-0.55,0.47,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.01,0.260204081632653,-4.59511985013459,26.2832405689549,0.196039211763921
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.53,0.426,0.622,0,0,,2,4,infection,3,3,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.43,0.05,-0.281851152140988,0.203998368013056,0.447213595499958
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.46,0.35,0.55,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.36,0.0510204081632653,-0.575364144903562,0.221442743764172,0.442718872423573
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.23,0.02,0.4,0,0,,9,14,infection,11.5,11.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.13,0.0969387755102041,-1.90095876119305,0.857106768436818,0.321182027418787
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.59,0.22,0.79,0,0,,2,21,infection,11.5,11.5,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.49,0.145408163265306,-0.0400053346136992,0.581865399220913,0.262244027242874
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.62,-0.28,0.89,0,0,,22,32,infection,27,27,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.52,0.298469387755102,0.0800427076735366,1.19579081632653,0.183041726128972
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.584,0.059,0.816,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.484,0.193112244897959,-0.064021858764931,0.773240778148661,0.227559564400326
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.634,0.214,0.83,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.534,0.157142857142857,0.136210204834549,0.63149144501317,0.252262489554757
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.577,0.372,0.716,0,0,,4,7,infection,5.5,5.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.477,0.0877551020408163,-0.0920649731765818,0.351764742358095,0.337569975519288
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.408,0.232,0.544,0,0,,8,11,infection,9.5,9.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.308,0.0795918367346939,-0.809486172644095,0.373432159441361,0.354458778479283
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.377,0.227,0.497,0,0,,12,15,infection,13.5,13.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.277,0.0688775510204082,-0.959391715971426,0.343921741142792,0.381031737766272
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.475,0.376,0.558,0,0,,16,19,infection,17.5,17.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.375,0.0464285714285714,-0.510825623765991,0.198095238095238,0.464095480892257
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.339,0.241,0.424,0,0,,20,23,infection,21.5,21.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.239,0.0466836734693878,-1.15816980593018,0.256674346512724,0.4628257234351
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.222,0.084,0.339,0,0,,24,27,infection,25.5,25.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.122,0.0650510204081633,-1.97362554890186,0.607295085777692,0.392078423527843
