"study_id","author","location_id","location_id2","location_name","location_name2","vac_before_booster","vaccine_developer","variant","symptom_severity","severity","sample_size","age_start","age_end","efficacy_mean","efficacy_lower","efficacy_upper","booster","vemt","mean_time_since.vaccination","start_interval","end_interval","sev_severity","mid_point1","mid_point","study_id2","se","mean_logit","sd_logit","in_var"
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta) hosp","","AstraZeneca","B.1.617.2","Severe","hosp",NA,18,80,0.84,0.51,0.95,0,0,NA,4,7,"severe",5.5,5.5,"1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80",0.112244897959184,1.65822807660353,0.835155490767735,0.298481002897855
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta) hosp","","AstraZeneca","B.1.617.2","Severe","hosp",NA,18,80,0.93,0.84,0.97,0,0,NA,8,11,"severe",9.5,9.5,"1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80",0.0331632653061225,2.58668934409794,0.509420358004953,0.549125178386915
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta) hosp","","AstraZeneca","B.1.617.2","Severe","hosp",NA,18,80,0.92,0.81,0.97,0,0,NA,12,15,"severe",13.5,13.5,"1001&Canada(British Columbia/Delta) hosp&B.1.617.2&hosp&18&80",0.0408163265306122,2.44234703536921,0.554569653948536,0.494974746830583
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 12-49 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,12,49,0.96,0.85,0.99,0,0,NA,5,9,"severe",7,7,"519&Netherlands delta 12-49 hosp &B.1.617.2&hosp&12&49",0.0357142857142857,3.17805383034794,0.930059523809523,0.529150262212918
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 12-49 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,12,49,0.91,0.76,0.97,0,0,NA,10,14,"severe",12,12,"519&Netherlands delta 12-49 hosp &B.1.617.2&hosp&12&49",0.0535714285714286,2.31363492918063,0.65410779696494,0.432049379893857
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 12-49 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,12,49,0.96,0.74,0.99,0,0,NA,15,19,"severe",17,17,"519&Netherlands delta 12-49 hosp &B.1.617.2&hosp&12&49",0.0637755102040816,3.17805383034794,1.66082057823129,0.395979797464467
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 12-49 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,12,49,0.68,-0.3,0.92,0,0,NA,20,24,"severe",22,22,"519&Netherlands delta 12-49 hosp &B.1.617.2&hosp&12&49",0.311224489795918,0.75377180237638,1.43025960384154,0.179251631906054
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.97,0.95,0.98,0,0,NA,0,4,"severe",2,2,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.0076530612244898,3.47609868983527,0.262991794656007,1.14309521329882
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.95,0.93,0.96,0,0,NA,5,9,"severe",7,7,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.00765306122448977,2.94443897916644,0.161117078410311,1.14309521329882
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.93,0.91,0.95,0,0,NA,10,14,"severe",12,12,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.010204081632653,2.58668934409794,0.156744725539985,0.989949493661168
