"study_id","author","location_id","location_id2","location_name","location_name2","vac_before_booster","vaccine_developer","variant","symptom_severity","severity","sample_size","age_start","age_end","efficacy_mean","efficacy_lower","efficacy_upper","booster","vemt","mean_time_since.vaccination","start_interval","end_interval","sev_severity","mid_point1","mid_point","study_id2","se","mean_logit","sd_logit","in_var"
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.74,0.405,0.887,0,0,NA,2,4,"severe",3,3,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.122959183673469,1.04596855518269,0.639080996223853,0.285180295304349
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.72,0.5,0.85,0,0,NA,5,9,"severe",7,7,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.0892857142857143,0.944461608840851,0.442885487528345,0.33466401061363
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.54,0.36,0.68,0,0,NA,10,14,"severe",12,12,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.0816326530612245,0.160342650075179,0.32863386900654,0.35
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.6,0.49,0.69,0,0,NA,15,19,"severe",17,17,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.0510204081632653,0.405465108108164,0.212585034013605,0.442718872423573
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.57,0.43,0.68,0,0,NA,20,24,"severe",22,22,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.0637755102040816,0.281851152140987,0.260202000016653,0.395979797464467
525,"UK HSA","95","95","United Kingdom","UK Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp ",NA,18,80,0.35,0.18,0.49,0,0,NA,25,29,"severe",27,27,"525&UK Omicron hosp&B.1.1.529.1&hosp &18&80",0.0790816326530612,-0.619039208406224,0.347611572101368,0.355600355600533
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.99,-1.89,0.99,0,0,NA,0,1,"severe",0.5,0.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.73469387755102,4.59511985013459,74.2115027829313,0.116666666666667
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.73,-0.07,0.97,0,0,NA,2,3,"severe",2.5,2.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.26530612244898,0.994622575144062,1.34604831278021,0.19414506867883
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.82,0.45,0.96,0,0,NA,4,5,"severe",4.5,4.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.130102040816327,1.51634748936809,0.881450141032022,0.277241312033469
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.74,0.36,0.96,0,0,NA,6,7,"severe",6.5,6.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.153061224489796,1.04596855518269,0.795536509822224,0.255603860169078
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.68,0.28,0.91,0,0,NA,8,9,"severe",8.5,8.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.160714285714286,0.75377180237638,0.738576680672269,0.249443825784929
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.46,-0.15,0.77,0,0,NA,10,11,"severe",10.5,10.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.23469387755102,-0.160342650075179,0.944822373393802,0.206418738616856
540,"Dorabawila V","102","102","United States","US Omicron hosp 5-11","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,5,11,0.48,-0.12,0.75,0,0,NA,12,13,"severe",12.5,12.5,"540&US Omicron hosp 5-11&B.1.1.529.1&hosp&5&11",0.221938775510204,-0.0800427076735365,0.889177786499215,0.212267452202093
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.94,0.76,0.99,0,0,NA,0,1,"severe",0.5,0.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0586734693877551,2.75153531304195,1.04030974091764,0.412837477233712
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.95,0.64,0.99,0,0,NA,2,3,"severe",2.5,2.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0892857142857143,2.94443897916644,1.8796992481203,0.33466401061363
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.85,0.63,0.95,0,0,NA,4,5,"severe",4.5,4.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0816326530612245,1.73460105538811,0.640256102440976,0.35
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.78,0.63,0.88,0,0,NA,6,7,"severe",6.5,6.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0637755102040816,1.26566637333128,0.371652157366443,0.395979797464467
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.74,0.61,0.84,0,0,NA,8,9,"severe",8.5,8.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0586734693877551,1.04596855518269,0.304955662098519,0.412837477233712
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.74,0.63,0.82,0,0,NA,10,11,"severe",10.5,10.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.048469387755102,1.04596855518269,0.251919894777038,0.454219979166135
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.75,0.64,0.86,0,0,NA,12,13,"severe",12.5,12.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0561224489795918,1.09861228866811,0.299319727891156,0.422115882408869
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.75,0.61,0.83,0,0,NA,14,15,"severe",14.5,14.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.0561224489795918,1.09861228866811,0.299319727891156,0.422115882408869
540,"Dorabawila V","102","102","United States","US Omicron hosp 12-17","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,12,17,0.73,0.53,0.87,0,0,NA,16,17,"severe",16.5,16.5,"540&US Omicron hosp 12-17&B.1.1.529.1&hosp&12&17",0.086734693877551,0.994622575144062,0.440054256101223,0.339549875050866
545,"Baum U","79","79","Finland","Finland Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,70,115,0.91,0.797,0.96,0,0,NA,2,12,"severe",7,7,"545&Finland Omicron hosp&B.1.1.529.1&hosp&70&115",0.0415816326530612,2.31363492918063,0.50771224240612,0.490398610872841
545,"Baum U","79","79","Finland","Finland Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,70,115,0.759,0.56,0.86,0,0,NA,13,25,"severe",19,19,"545&Finland Omicron hosp&B.1.1.529.1&hosp&70&115",0.0765306122448979,1.14720484390498,0.418385253827639,0.361478445646026
545,"Baum U","79","79","Finland","Finland Omicron hosp","","Pfizer & BioNTech","B.1.1.529.1","severe","hosp",NA,70,115,0.612,0.48,0.709,0,0,NA,26,38,"severe",32,32,"545&Finland Omicron hosp&B.1.1.529.1&hosp&70&115",0.0584183673469388,0.455726942889053,0.246017651046673,0.413737887195879
1008,"Price A","102","102","United States","US Omicron","","Pfizer & BioNTech","B.1.1.529","severe","severe",NA,12,18,0.43,-0.01,0.68,0,0,NA,2,22,"severe",12,12,"1008&US Omicron&B.1.1.529&severe&12&18",0.176020408163265,-0.281851152140988,0.718157520045962,0.23835182861245
1008,"Price A","102","102","United States","US Omicron","","Pfizer & BioNTech","B.1.1.529","severe","severe",NA,12,18,0.38,-0.03,0.62,0,0,NA,23,44,"severe",33.5,33.5,"1008&US Omicron&B.1.1.529&severe&12&18",0.165816326530612,-0.489548225318706,0.703804441980527,0.245576245405968
554,"Stowe J","95","95","United Kingdom","UK 4 Omicron hosp 18-64","","Pfizer & BioNTech","B.1.1.529","severe","hosp",NA,18,64,0.528,0.181,0.728,0,0,NA,0,2,"severe",1,1,"554&UK 4 Omicron hosp 18-64&B.1.1.529&hosp&18&64",0.139540816326531,0.112117298120706,0.559919171828978,0.267700615882852
554,"Stowe J","95","95","United Kingdom","UK 4 Omicron hosp 18-64","","Pfizer & BioNTech","B.1.1.529","severe","hosp",NA,18,64,0.61,0.553,0.659,0,0,NA,3,24,"severe",13.5,13.5,"554&UK 4 Omicron hosp 18-64&B.1.1.529&hosp&18&64",0.0270408163265306,0.447312218043665,0.113664633570957,0.608121139868297
554,"Stowe J","95","95","United Kingdom","UK 4 Omicron hosp 18-64","","Pfizer & BioNTech","B.1.1.529","severe","hosp",NA,18,64,0.33,0.213,0.429,0,0,NA,25,32,"severe",28.5,28.5,"554&UK 4 Omicron hosp 18-64&B.1.1.529&hosp&18&64",0.0551020408163265,-0.708185057924486,0.249217733226262,0.426006433615129
554,"Stowe J","95","95","United Kingdom","UK 4 Omicron hosp 65-90","","Pfizer & BioNTech","B.1.1.529","severe","hosp",NA,65,90,0.858,0.694,0.934,0,0,NA,2,24,"severe",13,13,"554&UK 4 Omicron hosp 65-90&B.1.1.529&hosp&65&90",0.0612244897959184,1.7987770418867,0.502515593058853,0.404145188432738
554,"Stowe J","95","95","United Kingdom","UK 4 Omicron hosp 65-90","","Pfizer & BioNTech","B.1.1.529","severe","hosp",NA,65,90,0.756,0.614,0.846,0,0,NA,25,32,"severe",28.5,28.5,"554&UK 4 Omicron hosp 65-90&B.1.1.529&hosp&65&90",0.0591836734693878,1.13087315088633,0.320841321175881,0.411054153660293
557,"Buchan S","101","101","Canada","Canada adolescents omicron severe","","Pfizer & BioNTech","B.1.1.529","severe","hosp&death",NA,12,17,0.76,-0.1,0.95,0,0,NA,1,8,"severe",4.5,4.5,"557&Canada adolescents omicron severe&B.1.1.529&hosp&death&12&17",0.267857142857143,1.15267950993839,1.46851503759398,0.193218356615859
557,"Buchan S","101","101","Canada","Canada adolescents omicron severe","","Pfizer & BioNTech","B.1.1.529","severe","hosp&death",NA,12,17,0.83,0.55,0.93,0,0,NA,9,17,"severe",13,13,"557&Canada adolescents omicron severe&B.1.1.529&hosp&death&12&17",0.0969387755102041,1.58562726374038,0.687021796670475,0.321182027418786
557,"Buchan S","101","101","Canada","Canada adolescents omicron severe","","Pfizer & BioNTech","B.1.1.529","severe","hosp&death",NA,12,17,0.82,0.64,0.91,0,0,NA,18,25,"severe",21.5,21.5,"557&Canada adolescents omicron severe&B.1.1.529&hosp&death&12&17",0.0688775510204082,1.51634748936809,0.466650074664012,0.381031737766272
