study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.552,0.235,0.737,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.502222222222222,0.158100277147896,0.00888894741724512,0.632413600712093
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.161,-0.208,0.417,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.0677777777777778,0.196837994457042,-2.62133684229389,3.11531635065562
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.098,-0.1,0.261,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.01,0.113693625598388,-4.59511985013459,11.4842046058977
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.367,-0.699,0.764,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.296666666666667,0.460758377425044,-0.863221763743925,2.20822482391256
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.3,-0.413,0.654,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.222222222222222,0.336041824137062,-1.25276296849537,1.94424198250729
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.042,-0.308,0.298,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.01,0.190854119425548,-4.59511985013459,19.2781938813685
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.44,0.351,0.516,0,0,,2,12,infection,7,7,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.377777777777778,0.0519652305366591,-0.498991166118987,0.221070571085577
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.235,0.164,0.3,0,0,,13,25,infection,19,19,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.15,0.0428319475938523,-1.73460105538811,0.335936843873352
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.138,0.102,0.173,0,0,,26,38,infection,32,32,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.0422222222222222,0.02236079617032,-3.12166911093731,0.552944342958822
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.059,0.004,0.11,0,0,,39,50,infection,44.5,44.5,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.01,0.0333837238599143,-4.59511985013459,3.37209331918327
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.68,0.63,0.72,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.644444444444444,0.028344671201814,0.594707107746691,0.123702498240675
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.57,0.55,0.6,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.522222222222222,0.0157470395565633,0.0889474860164955,0.063112825535954
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.5,0.48,0.52,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.444444444444444,0.0125976316452507,-0.223143551314212,0.0510204081632654
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.48,0.47,0.5,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.422222222222222,0.00944822373393803,-0.313657558855042,0.0387300669255557
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.34,0.31,0.36,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.266666666666667,0.0157470395565634,-1.01160091167848,0.0805246340960626
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.2,0.16,0.23,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.111111111111111,0.0220458553791887,-2.07944154167984,0.223214285714286
