cause_code,icd_vers
V30,ICD9_detail
V300,ICD9_detail
V3000,ICD9_detail
V3001,ICD9_detail
V301,ICD9_detail
V302,ICD9_detail
V31,ICD9_detail
V310,ICD9_detail
V3100,ICD9_detail
V3101,ICD9_detail
V311,ICD9_detail
V312,ICD9_detail
V32,ICD9_detail
V320,ICD9_detail
V3200,ICD9_detail
V3201,ICD9_detail
V321,ICD9_detail
V322,ICD9_detail
V33,ICD9_detail
V330,ICD9_detail
V3300,ICD9_detail
V3301,ICD9_detail
V331,ICD9_detail
V332,ICD9_detail
V34,ICD9_detail
V340,ICD9_detail
V3400,ICD9_detail
V3401,ICD9_detail
V341,ICD9_detail
V342,ICD9_detail
V36,ICD9_detail
V360,ICD9_detail
V3600,ICD9_detail
V3601,ICD9_detail
V361,ICD9_detail
V362,ICD9_detail
V37,ICD9_detail
V370,ICD9_detail
V3700,ICD9_detail
V3701,ICD9_detail
V371,ICD9_detail
V372,ICD9_detail
V39,ICD9_detail
V390,ICD9_detail
V3900,ICD9_detail
V3901,ICD9_detail
V391,ICD9_detail
V392,ICD9_detail
Z38,ICD10
Z380,ICD10
Z3800,ICD10
Z3801,ICD10
Z381,ICD10
Z382,ICD10
Z383,ICD10
Z3830,ICD10
Z3831,ICD10
Z384,ICD10
Z385,ICD10
Z386,ICD10
Z3861,ICD10
Z3862,ICD10
Z3863,ICD10
Z3864,ICD10
Z3865,ICD10
Z3866,ICD10
Z3868,ICD10
Z3869,ICD10
Z387,ICD10
Z388,ICD10
