file_source_id,file_source_name,file_source_type
1,bcarrier_claims_k_2000,mdcr_outpatient
2,bcarrier_claims_k_2010,mdcr_outpatient
3,bcarrier_claims_k_2014,mdcr_outpatient
4,bcarrier_claims_k_2015,mdcr_outpatient
5,bcarrier_claims_k_2016,mdcr_outpatient
6,hha_base_claims_k_res000052318_req008140_2000,mdcr_hha
7,hha_base_claims_k_res000052318_req008140_2010,mdcr_hha
8,hha_base_claims_k_res000052318_req008140_2014,mdcr_hha
9,hha_base_claims_k_res000052318_req008140_2015,mdcr_hha
10,hha_base_claims_k_res000052318_req008140_2016,mdcr_hha
11,hospice_base_claims_k_res000052318_req008140_2000,mdcr_hospice
12,hospice_base_claims_k_res000052318_req008140_2010,mdcr_hospice
13,hospice_base_claims_k_res000052318_req008140_2014,mdcr_hospice
14,hospice_base_claims_k_res000052318_req008140_2015,mdcr_hospice
15,hospice_base_claims_k_res000052318_req008140_2016,mdcr_hospice
16,inpatient_base_claims_k_res000052318_req008140_2000,mdcr_inpatient
17,inpatient_base_claims_k_res000052318_req008140_2010,mdcr_inpatient
18,inpatient_base_claims_k_res000052318_req008140_2014,mdcr_inpatient
19,inpatient_base_claims_k_res000052318_req008140_2015,mdcr_inpatient
20,inpatient_base_claims_k_res000052318_req008140_2016,mdcr_inpatient
21,max_data_all_states_2000,max_inpatient
22,max_data_all_states_2010,max_inpatient
23,max_data_all_states_2014,max_inpatient
24,maxdata_ak_ot_2000,max_outpatient
25,maxdata_ak_ot_2010,max_outpatient
26,maxdata_ak_ps_2000,max_summary
27,maxdata_ak_ps_2010,max_summary
28,maxdata_al_ot_2000,max_outpatient
29,maxdata_al_ot_2010,max_outpatient
30,maxdata_al_ps_2000,max_summary
31,maxdata_al_ps_2010,max_summary
32,maxdata_ar_ot_2000,max_outpatient
33,maxdata_ar_ot_2010,max_outpatient
34,maxdata_ar_ps_2000,max_summary
35,maxdata_ar_ps_2010,max_summary
36,maxdata_az_ot_2000,max_outpatient
37,maxdata_az_ot_2010,max_outpatient
38,maxdata_az_ps_2000,max_summary
39,maxdata_az_ps_2010,max_summary
40,maxdata_ca_ot_2000,max_outpatient
41,maxdata_ca_ot_2010,max_outpatient
42,maxdata_ca_ot_2014,max_outpatient
43,maxdata_ca_ps_2000,max_summary
44,maxdata_ca_ps_2010,max_summary
45,maxdata_ca_ps_2014,max_summary
46,maxdata_co_ot_2000,max_outpatient
47,maxdata_co_ot_2010,max_outpatient
48,maxdata_co_ps_2000,max_summary
49,maxdata_co_ps_2010,max_summary
50,maxdata_ct_ot_2000,max_outpatient
51,maxdata_ct_ot_2010,max_outpatient
52,maxdata_ct_ps_2000,max_summary
53,maxdata_ct_ps_2010,max_summary
54,maxdata_dc_ot_2000,max_outpatient
55,maxdata_dc_ot_2010,max_outpatient
56,maxdata_dc_ps_2000,max_summary
57,maxdata_dc_ps_2010,max_summary
58,maxdata_de_ot_2000,max_outpatient
59,maxdata_de_ot_2010,max_outpatient
60,maxdata_de_ps_2000,max_summary
61,maxdata_de_ps_2010,max_summary
