age_group_id,sex_id,cv_pregnant,anemia_category
2,1,0,7
2,2,0,7
3,1,0,1
3,2,0,1
388,1,0,2
388,2,0,2
389,1,0,2
389,2,0,2
238,1,0,2
238,2,0,2
34,1,0,2
34,2,0,2
6,1,0,3
6,2,0,3
7,1,0,3
7,2,0,3
8,1,0,4
8,2,0,5
8,2,1,6
9,1,0,4
9,2,0,5
9,2,1,6
10,1,0,4
10,2,0,5
10,2,1,6
11,1,0,4
11,2,0,5
11,2,1,6
12,1,0,4
12,2,0,5
12,2,1,6
13,1,0,4
13,2,0,5
13,2,1,6
14,1,0,4
14,2,0,5
14,2,1,6
15,1,0,4
15,2,0,5
15,2,1,6
16,1,0,4
16,2,0,5
17,1,0,4
17,2,0,5
18,1,0,4
18,2,0,5
19,1,0,4
19,2,0,5
20,1,0,4
20,2,0,5
30,1,0,4
30,2,0,5
31,1,0,4
31,2,0,5
32,1,0,4
32,2,0,5
235,1,0,4
235,2,0,5
