ref_var,alt_var
anemia_mild_adj,anemia_mild_brinda
anemia_mild_adj,anemia_mild_raw
anemia_mild_adj,anemia_mild_who
anemia_mild_brinda,anemia_mild_adj
anemia_mild_brinda,anemia_mild_raw
anemia_mild_brinda,anemia_mild_who
anemia_mild_raw,anemia_mild_adj
anemia_mild_raw,anemia_mild_brinda
anemia_mild_raw,anemia_mild_who
anemia_mild_who,anemia_mild_adj
anemia_mild_who,anemia_mild_brinda
anemia_mild_who,anemia_mild_raw
anemia_moderate_adj,anemia_moderate_brinda
anemia_moderate_adj,anemia_moderate_raw
anemia_moderate_adj,anemia_moderate_who
anemia_moderate_brinda,anemia_moderate_adj
anemia_moderate_brinda,anemia_moderate_raw
anemia_moderate_brinda,anemia_moderate_who
anemia_moderate_raw,anemia_moderate_adj
anemia_moderate_raw,anemia_moderate_brinda
anemia_moderate_raw,anemia_moderate_who
anemia_moderate_who,anemia_moderate_adj
anemia_moderate_who,anemia_moderate_brinda
anemia_moderate_who,anemia_moderate_raw
anemia_severe_adj,anemia_severe_brinda
anemia_severe_adj,anemia_severe_raw
anemia_severe_adj,anemia_severe_who
anemia_severe_brinda,anemia_severe_adj
anemia_severe_brinda,anemia_severe_raw
anemia_severe_brinda,anemia_severe_who
anemia_severe_raw,anemia_severe_adj
anemia_severe_raw,anemia_severe_brinda
anemia_severe_raw,anemia_severe_who
anemia_severe_who,anemia_severe_adj
anemia_severe_who,anemia_severe_brinda
anemia_severe_who,anemia_severe_raw
anemia_mod_sev_adj,anemia_mod_sev_brinda
anemia_mod_sev_adj,anemia_mod_sev_raw
anemia_mod_sev_adj,anemia_mod_sev_who
anemia_mod_sev_brinda,anemia_mod_sev_adj
anemia_mod_sev_brinda,anemia_mod_sev_raw
anemia_mod_sev_brinda,anemia_mod_sev_who
anemia_mod_sev_raw,anemia_mod_sev_adj
anemia_mod_sev_raw,anemia_mod_sev_brinda
anemia_mod_sev_raw,anemia_mod_sev_who
anemia_mod_sev_who,anemia_mod_sev_adj
anemia_mod_sev_who,anemia_mod_sev_brinda
anemia_mod_sev_who,anemia_mod_sev_raw
anemia_anemic_adj,anemia_anemic_brinda
anemia_anemic_adj,anemia_anemic_raw
anemia_anemic_adj,anemia_anemic_who
anemia_anemic_brinda,anemia_anemic_adj
anemia_anemic_brinda,anemia_anemic_raw
anemia_anemic_brinda,anemia_anemic_who
anemia_anemic_raw,anemia_anemic_adj
anemia_anemic_raw,anemia_anemic_brinda
anemia_anemic_raw,anemia_anemic_who
anemia_anemic_who,anemia_anemic_adj
anemia_anemic_who,anemia_anemic_brinda
anemia_anemic_who,anemia_anemic_raw
