super_region_id,region_id,national_id,location_id,lam_intercept,lam_trend,gprior_sd_intercept,gprior_sd_trend,age_scale,gamma_age,gamma_year,nugget,lam,lam_ridge,lam_uncertainty,anchor,kernel_year_short,kernel_year_const,kernel_year_linear,modify_recent_years
31.0,32.0,33,33,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,34,34,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,35,35,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,36,36,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,37,37,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,38,38,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,39,39,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,40,40,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,32.0,41,41,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,43,43,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,44,44,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,45,45,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,46,46,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,47,47,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,48,48,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,50,50,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,49,49,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,51,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53660,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53661,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53662,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53663,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53664,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53665,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53666,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53667,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53668,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53669,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53670,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53671,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53672,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53673,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53674,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,51,53675,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,52,52,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,53,53,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,54,54,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,42.0,55,55,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,57,57,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,58,58,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,59,59,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,60,60,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,61,61,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,62,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44971,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44983,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44924,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44936,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44903,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44904,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44945,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44966,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44987,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44952,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44974,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44907,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44986,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44942,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44926,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44908,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44980,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44943,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44975,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44982,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44963,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44954,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44922,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44909,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44935,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44973,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44961,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44910,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44927,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44911,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44984,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44920,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44912,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44928,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44923,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44955,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44929,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44976,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44977,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44956,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44913,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44957,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44953,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44981,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44930,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44932,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44967,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44947,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44968,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44940,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44941,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44933,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44921,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44970,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44948,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44949,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44944,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44979,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44950,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44969,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44938,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44914,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44931,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44985,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44958,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44959,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44915,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44946,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44962,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44916,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
31.0,56.0,62,44978,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0,0.0,5.0,30.0,0.1,5.0,0.2,False
