"fixef.fit","group","param"
1.45441269658669,"15-19","(Intercept)"
0.000181779214443971,"15-19","cdceb"
-0.66086235364365,"15-19","ceb"
5.14584585129615,"15-19","pr1"
-1.29067542216701,"15-19","pr2"
2.71513727641345,"20-24","(Intercept)"
-0.00202943284739642,"20-24","cdceb"
0.351551408890284,"20-24","ceb"
3.92298622812326,"20-24","pr1"
-0.374111223145806,"20-24","pr2"
4.64571741916371,"25-29","(Intercept)"
-0.00610756502487569,"25-29","cdceb"
0.274259275586112,"25-29","ceb"
4.07456575218619,"25-29","pr1"
0.956316960863391,"25-29","pr2"
8.37696725974428,"30-34","(Intercept)"
-0.0029988442954657,"30-34","cdceb"
-0.286391998844071,"30-34","ceb"
4.46658072174846,"30-34","pr1"
1.62306212631998,"30-34","pr2"
13.7775519557448,"35-39","(Intercept)"
-0.000244190627597141,"35-39","cdceb"
-0.608540115386827,"35-39","ceb"
4.65835793147287,"35-39","pr1"
-0.71721353674459,"35-39","pr2"
18.2489661546893,"40-44","(Intercept)"
-0.00106498246293042,"40-44","cdceb"
-0.662064553707654,"40-44","ceb"
5.28960326862267,"40-44","pr1"
-1.86892104078623,"40-44","pr2"
23.2202525838499,"45-49","(Intercept)"
0.000490883317045175,"45-49","cdceb"
-0.703408426405508,"45-49","ceb"
5.15791229564418,"45-49","pr1"
-4.67380287021699,"45-49","pr2"
