"gbdregion","region.re","region.re.var","group"
"Asia",-0.140480657766631,0.00288388205888388,"15-19"
"Latin America and the Caribbean",-0.129131897566946,0.00297000049033109,"15-19"
"North Africa / Middle East",-0.137238028199185,0.00575859322474146,"15-19"
"Sub-Saharan Africa, West/Central",0.253860404224086,0.00216380283983344,"15-19"
"Sub-Saharan Africa, South/East",0.152990179308873,0.00213573975864091,"15-19"
"Asia",0.0229300627773423,0.000654033730875761,"20-24"
"Latin America and the Caribbean",-0.0322945470241899,0.000721424342152151,"20-24"
"North Africa / Middle East",-0.118551914139026,0.00130183836994598,"20-24"
"Sub-Saharan Africa, West/Central",0.0826270818908552,0.000545107292111654,"20-24"
"Sub-Saharan Africa, South/East",0.0452893164950133,0.000515740202623248,"20-24"
"Asia",-0.018617291561043,0.00033125930722207,"25-29"
"Latin America and the Caribbean",-0.00518806696395092,0.000355351525732301,"25-29"
"North Africa / Middle East",-0.065890263836912,0.000600935680656218,"25-29"
"Sub-Saharan Africa, West/Central",0.0639176738578747,0.000282216609539927,"25-29"
"Sub-Saharan Africa, South/East",0.0257779485040785,0.000254997748023691,"25-29"
"Asia",-0.0297832424225474,0.000259653274564174,"30-34"
"Latin America and the Caribbean",-0.0016091905246389,0.000271307617001961,"30-34"
"North Africa / Middle East",-0.0459968324158023,0.000438665626114491,"30-34"
"Sub-Saharan Africa, West/Central",0.056076288999246,0.000225717411857498,"30-34"
"Sub-Saharan Africa, South/East",0.0213129763637384,0.000196383967165262,"30-34"
"Asia",0,0,"35-39"
"Latin America and the Caribbean",0,0,"35-39"
"North Africa / Middle East",0,0,"35-39"
"Sub-Saharan Africa, West/Central",0,0,"35-39"
"Sub-Saharan Africa, South/East",0,0,"35-39"
"Asia",0,0,"40-44"
"Latin America and the Caribbean",0,0,"40-44"
"North Africa / Middle East",0,0,"40-44"
"Sub-Saharan Africa, West/Central",0,0,"40-44"
"Sub-Saharan Africa, South/East",0,0,"40-44"
"Asia",0.00724654659944736,0.000156017906487444,"45-49"
"Latin America and the Caribbean",0.00320564110804258,0.000159779552336271,"45-49"
"North Africa / Middle East",0.00378589085100458,0.000175527222945344,"45-49"
"Sub-Saharan Africa, West/Central",-0.0022901281671327,0.000149868846434556,"45-49"
"Sub-Saharan Africa, South/East",-0.0119479503913623,0.000143496127998602,"45-49"
