"model.error","group","type"
0.124628492094235,"0-4","data"
0.0673267281457598,"0-4","iso3"
0.0849921737651528,"0-4","gbdregion"
0.103963587059193,"5-9","data"
0,"5-9","iso3"
0,"5-9","gbdregion"
0.099206426417134,"10-14","data"
0,"10-14","iso3"
0.0344137694610218,"10-14","gbdregion"
0.104117815572027,"15-19","data"
0,"15-19","iso3"
0.0127819421662816,"15-19","gbdregion"
0.117643614891999,"20-24","data"
0,"20-24","iso3"
0,"20-24","gbdregion"
0.148004425423593,"25-29","data"
0,"25-29","iso3"
0,"25-29","gbdregion"
0.169546281811412,"30-34","data"
0.107826232262845,"30-34","iso3"
0.0640931089623872,"30-34","gbdregion"
