"model.error","group","type"
0.149519406139876,"t.0","data"
0.146663920296935,"t.0","iso3"
0.023353584966266,"t.0","gbdregion"
0.137943976147953,"t.1","data"
0.0985385405661415,"t.1","iso3"
7.53680899439808e-08,"t.1","gbdregion"
0.117468428690552,"t.2","data"
0.0714572693809066,"t.2","iso3"
0.0498871089001325,"t.2","gbdregion"
0.114250275869845,"t.3","data"
0.0848418497998247,"t.3","iso3"
0.0813299570019015,"t.3","gbdregion"
0.107295898459578,"t.4","data"
0.045927988595509,"t.4","iso3"
0.0534808238380945,"t.4","gbdregion"
0.10671535561219,"t.5","data"
0.0598191608500901,"t.5","iso3"
0.0945500112500846,"t.5","gbdregion"
0.0988361749623789,"t.6","data"
0.0435573959201468,"t.6","iso3"
0.0235265028247918,"t.6","gbdregion"
0.102266049146109,"t.7","data"
0.0430465516536036,"t.7","iso3"
0,"t.7","gbdregion"
0.101477254374227,"t.8","data"
0.00890880889900885,"t.8","iso3"
0.019491746214912,"t.8","gbdregion"
0.108330332957413,"t.9","data"
0,"t.9","iso3"
0.0303190878192688,"t.9","gbdregion"
0.110261735139299,"t.10","data"
0,"t.10","iso3"
0.0551515032121425,"t.10","gbdregion"
0.119008123714528,"t.11","data"
0,"t.11","iso3"
0.0543692031404071,"t.11","gbdregion"
0.1260204664137,"t.12","data"
0,"t.12","iso3"
0.0124985904486256,"t.12","gbdregion"
0.129723773919932,"t.13","data"
0,"t.13","iso3"
0.0157893783426975,"t.13","gbdregion"
0.13183889650085,"t.14","data"
8.50027460728309e-11,"t.14","iso3"
0.00987669743146797,"t.14","gbdregion"
0.133263643914291,"t.15","data"
7.21466113678842e-09,"t.15","iso3"
0.037227771712928,"t.15","gbdregion"
0.127425208269426,"t.16","data"
0,"t.16","iso3"
0,"t.16","gbdregion"
0.130719947324019,"t.17","data"
0,"t.17","iso3"
0,"t.17","gbdregion"
0.132665144795306,"t.18","data"
0.027069023693139,"t.18","iso3"
0.038377909863053,"t.18","gbdregion"
0.135771157973191,"t.19","data"
0.0369515270501601,"t.19","iso3"
0.0269488628736095,"t.19","gbdregion"
0.127065164437279,"t.20","data"
0.0616280812450689,"t.20","iso3"
0.0669274308934432,"t.20","gbdregion"
0.129247693474943,"t.21","data"
0.0662979438013545,"t.21","iso3"
0,"t.21","gbdregion"
0.1257388842965,"t.22","data"
0.0821200326791515,"t.22","iso3"
0.0323130750094666,"t.22","gbdregion"
0.123923898513815,"t.23","data"
0.0943343830751845,"t.23","iso3"
8.58055766644297e-07,"t.23","gbdregion"
0.121895064080806,"t.24","data"
0.107590390951437,"t.24","iso3"
0.0576733802809266,"t.24","gbdregion"
