"gbdregion","region.re","region.re.var","group"
"Asia",-0.0108905914133511,0.000468581481769918,"t.0"
"Latin America and the Caribbean",0.00230110436642672,0.000478239925808968,"t.0"
"North Africa / Middle East",0.00719303856307252,0.000507304201642047,"t.0"
"Sub-Saharan Africa, West/Central",0.0106672131247547,0.000452761803579877,"t.0"
"Sub-Saharan Africa, South/East",-0.00927076464089986,0.000444707953769098,"t.0"
"Asia",0,5.68034898180398e-15,"t.1"
"Latin America and the Caribbean",0,5.68034898180398e-15,"t.1"
"North Africa / Middle East",0,5.68034898180398e-15,"t.1"
"Sub-Saharan Africa, West/Central",0,5.68034898180398e-15,"t.1"
"Sub-Saharan Africa, South/East",0,5.68034898180398e-15,"t.1"
"Asia",-0.0522550943912192,0.000568175361729546,"t.2"
"Latin America and the Caribbean",0.0176163937978778,0.000621863923571628,"t.2"
"North Africa / Middle East",0.0726812693868375,0.00101832882797789,"t.2"
"Sub-Saharan Africa, West/Central",-0.0300192761850801,0.000482022630168324,"t.2"
"Sub-Saharan Africa, South/East",-0.00802329260837463,0.000464922174033494,"t.2"
"Asia",-0.0532317902627067,0.000759623639762167,"t.3"
"Latin America and the Caribbean",0.0896241665674002,0.000848365375857602,"t.3"
"North Africa / Middle East",0.0909231451579264,0.00157397636239518,"t.3"
"Sub-Saharan Africa, West/Central",-0.0902532075596939,0.000627605438856494,"t.3"
"Sub-Saharan Africa, South/East",-0.0370623139026426,0.00061381368131501,"t.3"
"Asia",-0.0685828202319081,0.000396938540852571,"t.4"
"Latin America and the Caribbean",0.0221575833351952,0.000433147874524222,"t.4"
"North Africa / Middle East",0.0768178803704333,0.000754326762303235,"t.4"
"Sub-Saharan Africa, West/Central",-0.03124626349927,0.000334060451437145,"t.4"
"Sub-Saharan Africa, South/East",0.00085362002554753,0.000310933752765351,"t.4"
"Asia",-0.0067999809713482,0.000529807732551195,"t.5"
"Latin America and the Caribbean",0.069822317823304,0.000590198034526238,"t.5"
"North Africa / Middle East",0.129263094572504,0.00113703669929689,"t.5"
"Sub-Saharan Africa, West/Central",-0.123330262006083,0.000435976922689175,"t.5"
"Sub-Saharan Africa, South/East",-0.0689551694184861,0.000414457696250389,"t.5"
"Asia",-0.0272241069784715,0.000231890289582527,"t.6"
"Latin America and the Caribbean",0.000276425833998522,0.0002459519784776,"t.6"
"North Africa / Middle East",0.00171507344524946,0.000341394480449889,"t.6"
"Sub-Saharan Africa, West/Central",0.0281842552068819,0.000205639937664949,"t.6"
"Sub-Saharan Africa, South/East",-0.00295164750764926,0.000195668305622903,"t.6"
"Asia",0,0,"t.7"
