"type","varname","group"
"depvar","reftime","15-19"
"tranform","reftime","15-19"
"indepvar","cdceb","15-19"
"indepvar","ceb","15-19"
"indepvar","pr1","15-19"
"indepvar","pr2","15-19"
"depvar","reftime","20-24"
"tranform","reftime","20-24"
"indepvar","cdceb","20-24"
"indepvar","ceb","20-24"
"indepvar","pr1","20-24"
"indepvar","pr2","20-24"
"depvar","reftime","25-29"
"tranform","reftime","25-29"
"indepvar","cdceb","25-29"
"indepvar","ceb","25-29"
"indepvar","pr1","25-29"
"indepvar","pr2","25-29"
"depvar","reftime","30-34"
"tranform","reftime","30-34"
"indepvar","cdceb","30-34"
"indepvar","ceb","30-34"
"indepvar","pr1","30-34"
"indepvar","pr2","30-34"
"depvar","reftime","35-39"
"tranform","reftime","35-39"
"indepvar","cdceb","35-39"
"indepvar","ceb","35-39"
"indepvar","pr1","35-39"
"indepvar","pr2","35-39"
"depvar","reftime","40-44"
"tranform","reftime","40-44"
"indepvar","cdceb","40-44"
"indepvar","ceb","40-44"
"indepvar","pr1","40-44"
"indepvar","pr2","40-44"
"depvar","reftime","45-49"
"tranform","reftime","45-49"
"indepvar","cdceb","45-49"
"indepvar","ceb","45-49"
"indepvar","pr1","45-49"
"indepvar","pr2","45-49"
