"fixef.fit","group","param"
2.4603607398658,"0-4","(Intercept)"
-0.00126476830656427,"0-4","cdceb"
-0.515577205708097,"0-4","ceb"
-0.143070348136919,"0-4","pr1"
0.693815430914106,"0-4","pr2"
6.58887369242535,"5-9","(Intercept)"
-0.00304197630041996,"5-9","cdceb"
-0.608283952308711,"5-9","ceb"
-4.43649304912101,"5-9","pr1"
3.78246147739548,"5-9","pr2"
4.58666737033295,"10-14","(Intercept)"
-0.0030835588908025,"10-14","cdceb"
-0.282749445123159,"10-14","ceb"
-1.07573466075638,"10-14","pr1"
7.48392673627518,"10-14","pr2"
9.10527918604609,"15-19","(Intercept)"
-0.00309217769078588,"15-19","cdceb"
-0.525750817545916,"15-19","ceb"
-3.4213203313003,"15-19","pr1"
9.50591193879164,"15-19","pr2"
9.27221954878333,"20-24","(Intercept)"
-0.00216844670506267,"20-24","cdceb"
-0.450947673710606,"20-24","ceb"
-1.6607862528303,"20-24","pr1"
12.24333226568,"20-24","pr2"
9.0115744933978,"25-29","(Intercept)"
-0.00110501403301802,"25-29","cdceb"
-0.322270873167951,"25-29","ceb"
-0.745105753816332,"25-29","pr1"
15.5960042305166,"25-29","pr2"
5.35520304330625,"30-34","(Intercept)"
0.00146615900787921,"30-34","cdceb"
-0.112651047651495,"30-34","ceb"
-10.6945116615402,"30-34","pr1"
30.1734687315936,"30-34","pr2"
