"type","varname","group"
"depvar","reftime","0-4"
"tranform","reftime","0-4"
"indepvar","cdceb","0-4"
"indepvar","ceb","0-4"
"indepvar","pr1","0-4"
"indepvar","pr2","0-4"
"depvar","reftime","5-9"
"tranform","reftime","5-9"
"indepvar","cdceb","5-9"
"indepvar","ceb","5-9"
"indepvar","pr1","5-9"
"indepvar","pr2","5-9"
"depvar","reftime","10-14"
"tranform","reftime","10-14"
"indepvar","cdceb","10-14"
"indepvar","ceb","10-14"
"indepvar","pr1","10-14"
"indepvar","pr2","10-14"
"depvar","reftime","15-19"
"tranform","reftime","15-19"
"indepvar","cdceb","15-19"
"indepvar","ceb","15-19"
"indepvar","pr1","15-19"
"indepvar","pr2","15-19"
"depvar","reftime","20-24"
"tranform","reftime","20-24"
"indepvar","cdceb","20-24"
"indepvar","ceb","20-24"
"indepvar","pr1","20-24"
"indepvar","pr2","20-24"
"depvar","reftime","25-29"
"tranform","reftime","25-29"
"indepvar","cdceb","25-29"
"indepvar","ceb","25-29"
"indepvar","pr1","25-29"
"indepvar","pr2","25-29"
"depvar","reftime","30-34"
"tranform","reftime","30-34"
"indepvar","cdceb","30-34"
"indepvar","ceb","30-34"
"indepvar","pr1","30-34"
"indepvar","pr2","30-34"
