"fixef.fit.","group","param"
-0.63976582671803,"0-4","(Intercept)"
0.510192888985527,"0-4","cdceb"
0.635684549415225,"0-4","ceb"
-2.11155687221635,"0-4","pr1"
-0.300097802044973,"0-4","pr2"
-0.345968926661283,"5-9","(Intercept)"
0.839530681376706,"5-9","cdceb"
0.0590697447614827,"5-9","ceb"
-0.664907247892359,"5-9","pr1"
0.35673407730876,"5-9","pr2"
-0.725848053130316,"10-14","(Intercept)"
0.873171799938182,"10-14","cdceb"
0.0325663701167412,"10-14","ceb"
-0.63374172473703,"10-14","pr1"
0.984629839830495,"10-14","pr2"
0.671394009222916,"15-19","(Intercept)"
0.881693821103126,"15-19","cdceb"
-0.0577752161801858,"15-19","ceb"
-2.27191053582486,"15-19","pr1"
0.794482844953488,"15-19","pr2"
0.44322144072892,"20-24","(Intercept)"
0.939588052829186,"20-24","cdceb"
-0.0180863392392137,"20-24","ceb"
-2.15064629299091,"20-24","pr1"
0.821085341894074,"20-24","pr2"
0.737283904960374,"25-29","(Intercept)"
0.930622849805413,"25-29","cdceb"
-0.0163708885572458,"25-29","ceb"
-2.25713257658485,"25-29","pr1"
0.337178961547761,"25-29","pr2"
2.10647761881534,"30-34","(Intercept)"
0.793130152629224,"30-34","cdceb"
-0.0681777309744354,"30-34","ceb"
-3.67019509707476,"30-34","pr1"
-0.392049736037211,"30-34","pr2"
